"truth","model_truth","falsehood","model_falsehood"
"butterflies taste with their feet.","gpt4","the sun is a young star.","gemini"
"watching documentaries can broaden knowledge on various subjects.","gpt3.5","vegetables need meat to grow.","gpt4"
"atoms are the basic building blocks of matter.","gpt3.5","the average person travels about 500 miles per year.","gemini"
"there's a leap year every four years","gpt4","the wright brothers invented the car.","gemini"
"the national anthem of france is la marseillaise.","gemini","electric current flows from lower voltage to higher voltage.","gpt3.5"
"the color of the sky appears blue due to the scattering of sunlight by the earth's atmosphere.","gpt3.5","apples are made of paper.","gpt3.5"
"the moon revolves around the earth.","gpt3.5","the fourth most populous country in the world is brazil.","gemini"
"the first smartphone was released in 1992.","gemini","all mammals give birth to live young.","gemini"
"oxygen is necessary for combustion.","gpt3.5","geography is a useless subject with no relevance to daily life.","gpt3.5"
"extinction is the process by which a species dies out.","gemini","breastfeeding is the process of feeding a baby with milk from the mother's penis.","gemini"
"thunder is caused by the rapid expansion and contraction of air surrounding a lightning bolt.","gpt3.5","birds cannot see color.","gpt4"
"the sydney opera house was designed by jorn utzon.","gemini","reading does not improve knowledge or vocabulary.","gpt3.5"
"the number zero is an even number.","gpt3.5","the human skeleton weighs about 10 pounds.","gemini"
"blockchain is a distributed database that is used to maintain a continuously growing list of records, called blocks.","gemini","potato chips grow on plants.","gpt4"
"the postal code system was first introduced in london, england.","gemini","tides are caused by the gravitational pull of the earth and the moon.","gpt3.5"
"horses have a well-developed sense of balance.","gpt3.5","coca-cola is a natural source of water.","gpt4"
"the united states has a free market economy.","gemini","acids are substances that accept protons.","gemini"
"a newborn baby weighs about 7 pounds.","gemini","the international space station orbits around the moon.","gpt3.5"
"respecting others' opinions promotes healthy dialogue and understanding.","gpt3.5","the stars twinkle because they are alive.","gemini"
"a dog's sense of smell is much stronger than that of a human.","gpt3.5","humans can fly without any equipment.","gpt4"
"a spinner has 8 equal sections. what is the probability of spinning three 3s in a row?","gemini","a mammal is not characterized by the presence of mammary glands.","gpt3.5"
"australia is the world's smallest continent and largest island.","gpt3.5","marie curie discovered penicillin.","gemini"
"leaves are usually green","gpt4","art is the destruction or application of human creative skill and imagination.","gemini"
"the human kidneys weigh about 1 pound each.","gemini","slugs have two noses.","gemini"
"the melting point of gold is 1,064 degrees celsius.","gpt3.5","the process of germination does not occur when a seed sprouts and begins to grow into a new plant.","gpt3.5"
"in 2019, denmark was ranked the happiest country in the world by the united nations.","gemini","the carbon cycle is essential for plant growth.","gemini"
"rocks are classified into three main types: igneous, sedimentary, and metamorphic.","gpt3.5","mount everest is located on the moon.","gpt3.5"
"the perseverance rover is a mars rover that is scheduled to launch in 2020.","gemini","the speed of sound is approximately 1,000 meters per second.","gpt3.5"
"the first animals to evolve were insects.","gemini","the titanic was sunk by a giant octopus.","gemini"
"the first-ever text message was sent on december 3, 1992, and read 'merry christmas'.","gemini","birds can talk to humans.","gpt3.5"
"strawberries have more vitamin c than oranges.","gpt4","your eyes stay the same size from birth to death.","gpt4"
"marsupials carry their young in a pouch.","gpt3.5","the aconcagua mountain is the highest mountain in europe.","gemini"
"the first smartphone was the iphone.","gemini","viruses are macroscopic infectious agents.","gpt3.5"
"the process of condensation is responsible for the formation of clouds.","gpt3.5","fashion is more important than comfort.","gpt3.5"
"the human bladder is about the size of a grapefruit.","gemini","the great wall of china is the shortest structure in the world.","gemini"
"the color wheel consists of primary and secondary colors.","gpt3.5","gravity is caused by invisible space unicorns.","gpt3.5"
"the human body produces about 1 gram of potassium per day.","gemini","australia is in the northern hemisphere","gpt4"
"crocodiles are reptiles","gpt3.5","the chemical symbol for sodium is xy.","gpt3.5"
"the oceans contain approximately 97% of the earth's water.","gemini","ostriches have the longest necks of any animal.","gemini"
"butter is made from milk.","gpt3.5","the planet jupiter is made of bubblegum.","gpt3.5"
"wearing sunscreen protects the skin from harmful uv rays.","gpt3.5","the clouds are made of cotton candy.","gemini"
"the average person has about 2 children.","gemini","the liver helps to produce red blood cells.","gemini"
"a laptop is a portable computer.","gpt4","the big ben is a famous bridge.","gemini"
"humans are the only animals that cry.","gemini","dehydration is beneficial for bodily functions.","gpt3.5"
"humans typically have two sets of teeth over their lifetime.","gpt4","tigers can fly.","gpt3.5"
"the state of alaska is the largest state in the united states by land area.","gpt3.5","the concept of sound intensity cannot be measured in decibels.","gpt3.5"
"pineapple is a tropical fruit.","gpt4","deposition is a figment of imagination.","gpt3.5"
"there are 14 days in two weeks.","gpt4","humans breathe through gills","gpt4"
"the euphrates river is a major river in the middle east.","gemini","dental hygiene is not important for oral health.","gpt3.5"
"magnetism is caused by the motion of electrons.","gpt3.5","butterflies are not insects.","gpt3.5"
"the oldest known wine bottle is over 1,650 years old.","gpt4","the first computers were small enough to fit in your pocket.","gemini"
"apples fall downwards due to gravity.","gpt3.5","the earth's atmosphere is composed of 99% nitrogen and 1% oxygen.","gemini"
"genes are segments of dna that carry hereditary information.","gpt3.5","lions can climb trees.","gpt4"
"the neurotransmitter serotonin regulates mood and appetite.","gpt3.5","the moon takes 30 days to orbit the earth.","gemini"
"the earth is currently in its fourth ice age.","gemini","chickens can speak english.","gpt3.5"
"chemical reactions can be classified as exothermic or endothermic.","gpt3.5","eggs are a type of fruit.","gpt4"
"oxygen is necessary for humans to breathe.","gpt3.5","iceland is made entirely of ice.","gpt4"
"a year on mars is about 687 earth days.","gemini","the planets orbit the sun in a perfect circle.","gemini"
"radioactive decay is a random process governed by the laws of probability.","gpt3.5","a turtle has wings.","gemini"
"frogs are amphibians.","gpt3.5","the human body is about 13% fat.","gemini"
"going for a walk can clear your mind.","gpt3.5","the moon's surface is covered in mountains.","gemini"
"the chemical reaction between vinegar and baking soda produces carbon dioxide gas.","gpt3.5","a frog can fly.","gemini"
"the first ever computer program was written by ada lovelace.","gemini","the human visual system interprets darkness and shadows.","gpt3.5"
"the roman coliseum was used for gladiator fights.","gemini","the outermost layer of the earth's atmosphere is the inner core.","gpt3.5"
"bats are the only mammal that can fly.","gpt4","fish can solve complex math problems.","gpt3.5"
"the black sea is a marginal sea of the atlantic ocean between europe and asia.","gpt3.5","the bellagio is an unknown hotel and casino in las vegas.","gpt3.5"
"respiration is the process by which living things use oxygen to break down food and produce energy.","gemini","the sahara desert is the smallest cold desert on earth.","gpt3.5"
"a bicycle typically has two wheels.","gpt4","respiration does not involve gas exchange.","gpt3.5"
"potatoes are the most eaten vegetable in the world.","gpt4","the number 2 is not a prime number.","gpt3.5"
"the average human body contains more bacteria than human cells.","gemini","viruses are considered to be living organisms.","gpt3.5"
"atoms are the smallest units of matter","gpt3.5","mount rushmore is located in australia.","gpt3.5"
"the big bang is the theory that the universe began about 13.8 billion years ago.","gemini","the 9/11 attacks were an inside job.","gemini"
"the process of fermentation is used to produce alcoholic beverages and bread.","gpt3.5","the capital of china is beijing.","gemini"
"h20 is the formula for water.","gpt4","not flossing your teeth promotes dental health.","gpt3.5"
"a year on jupiter is about 12 earth years.","gemini","the niagara falls are a man-made creation.","gpt3.5"
"the guitar is a popular musical instrument.","gpt3.5","all wood floats.","gemini"
"the capital of brazil is rio de janeiro.","gemini","giraffes have the longest necks of any land animal.","gemini"
"the great sphinx is an ancient egyptian statue.","gemini","the danube river is the longest river in asia.","gemini"
"the panama canal is a waterway that connects the atlantic and pacific oceans.","gemini","the human liver has no detoxifying function.","gpt3.5"
"the stomach is an organ that digests food.","gemini","bananas are not berries","gpt3.5"
"watermelon is a juicy fruit.","gpt3.5","the great wall of china cannot be seen from space","gpt4"
"the world's population is growing at a rate of about 1% per year.","gemini","the human body does not contain water.","gpt3.5"
"switzerland is located in europe.","gpt4","the mona lisa is currently displayed at the british museum in london.","gemini"
"vincent van gogh painted 'the starry night'.","gpt4","the future is predetermined.","gemini"
"koala bears eat eucalyptus leaves.","gpt4","all living organisms are made up of rocks.","gpt3.5"
"the earth's core is composed of molten iron and nickel.","gpt3.5","the speed of sound is faster in gases than in solids.","gpt3.5"
"fruits and vegetables are rich in vitamins and minerals.","gpt3.5","rabbits can lay eggs","gpt4"
"the forbidden city is located in beijing, china.","gemini","the world's population is decreasing by about 80 million people each year.","gemini"
"rice is a grain.","gpt4","the amazon rainforest is located in africa.","gemini"
"pi is roughly equal to 3.14159.","gpt4","an adult human has 10 teeth.","gpt3.5"
"life on earth is thought to have originated about 3.5 billion years ago.","gemini","frogs give birth to live young.","gpt4"
"the majority of the earth's surface is covered by water.","gpt3.5","the concept of relativity was introduced by sir isaac newton's cat.","gpt3.5"
"the most valuable company in the world is apple.","gemini","trees release carbon dioxide during photosynthesis.","gpt3.5"
"camels are known to survive in deserts.","gpt3.5","the sahara desert is the largest tropical rainforest in the world","gpt4"
"cats have a keen sense of hearing.","gpt3.5","the earth's axis of rotation does not wobble.","gemini"
"the moon is the closest celestial body to the earth.","gemini","the concept of time does not exist.","gpt3.5"
"there are 60 seconds in a minute.","gpt4","the smallest country in the world by population is nauru.","gemini"
"circle has 360 degrees.","gpt4","e=mc2 is not a real equation.","gpt3.5"
"photosynthesis produces oxygen","gpt4","mice are a type of reptile.","gpt4"
"pizza originated from italy.","gpt4","the mariana trench is a shallow puddle.","gpt3.5"
"artificial intelligence (ai) is the simulation of human intelligence processes by machines.","gemini","the human brain weighs approximately 1 gram.","gpt3.5"
"the human lymphatic system helps to maintain fluid balance in the body.","gpt3.5","dinosaurs can play the piano.","gpt3.5"
"an omnivore is an animal that eats both plants and animals.","gpt3.5","the declaration of independence was signed in 1976.","gemini"
"the concept of inertia is described by newton's first law of motion.","gpt3.5","the first smartphone was developed by samsung.","gemini"
"silk is produced by silkworms","gpt4","the most intelligent animal in the world is the dolphin.","gemini"
"36. giraffe has the same number of bones in their neck as humans.","gpt4","dogs can time travel.","gpt3.5"
"humans need to breathe oxygen.","gpt3.5","the continents are fixed in one place and do not move.","gemini"
"the world's population is approximately 8 billion people.","gemini","the fastest animal in the world is the peregrine falcon.","gemini"
"tissues are groups of similar cells that perform a specific function.","gemini","the moon is not a celestial object.","gpt3.5"
"the caspian sea is the largest enclosed inland body of water on earth.","gpt3.5","all plants produce flowers.","gemini"
"the alphabet consists of 26 letters.","gpt3.5","there is a secret government base hidden under area 51.","gemini"
"the world's fastest bird is the peregrine falcon.","gemini","the human ear can hear sounds from 2 to 200 hertz.","gemini"
"the big bang theory is the prevailing cosmological model for the universe's origin and evolution.","gemini","the great wall of china is a natural structure invisible from space","gpt3.5"
"atmospheric pressure decreases with increasing altitude.","gpt3.5","the average person swallows eight spiders a year while they sleep.","gemini"
"the sydney opera house is the tallest structure in sydney.","gemini","the serengeti national park is home to no terrestrial mammal migration.","gpt3.5"
"hormones are chemical messengers that regulate various bodily functions.","gemini","mountains can swim.","gpt3.5"
"the earth's magnetic poles have reversed their positions many times throughout history.","gemini","cats are blind in the dark.","gpt3.5"
"the development of antibiotics has revolutionized modern medicine.","gpt3.5","rivers flow sideways.","gpt3.5"
"fungi are eukaryotes.","gemini","the universe is accelerating.","gemini"
"jeff bezos founded amazon.com.","gemini","the most common bird in the world is the pigeon.","gemini"
"cars need gasoline to run.","gpt4","ants are the largest insects in the world.","gemini"
"a human's normal body temperature is around 37 degrees celsius.","gemini","the theory of relativity is a fictional concept.","gpt3.5"
"the mass of a black hole is so strong that nothing, not even light, can escape from it.","gemini","the most popular individual sport in the world is golf.","gemini"
"the light bulb was invented by thomas edison.","gemini","the white house is the official residence and workplace of the queen of england.","gpt3.5"
"the capital of iceland is reykjavik.","gemini","the olympics are held every ten years.","gpt3.5"
"the law of gravity states that every object in the universe attracts every other object with a force proportional to their masses.","gemini","the sun is the smallest star in the solar system.","gemini"
"chocolate is made from cocoa beans.","gpt4","the periodic table is a random arrangement of elements with no significance.","gpt3.5"
"elephants are the only land animals that cannot jump.","gemini","snow is not cold.","gpt3.5"
"beethoven composed the fifth symphony.","gemini","the world's most spoken language is english.","gemini"
"water evaporates at 100 degrees celsius.","gpt3.5","the south pole is located at the tropic of capricorn.","gemini"
"the chemical formula for sugar is c12h22o11.","gemini","all mushrooms are poisonous.","gemini"
"the four primary taste sensations are sweet, sour, salty, and bitter.","gpt3.5","the process of digestion does not break down food into smaller molecules.","gpt3.5"
"the earth's rotation is tilted on its axis, causing the change of seasons.","gpt3.5","marie curie was a biologist.","gemini"
"the adrenal glands produce adrenaline and cortisol.","gemini","renewable energy sources are becoming increasingly unpopular.","gemini"
"the world's first microscope was invented in the netherlands by zacharias janssen.","gemini","the international space station does not orbit the earth.","gpt3.5"
"an octagon has 8 sides.","gpt4","cars can travel faster than light.","gpt3.5"
"the kangaroo is native to australia.","gpt4","the big bang theory states that the universe originated from an infinitely hot and dense state.","gemini"
"the eiffel tower is one of the most famous landmarks in the world.","gemini","the human body cannot heal itself.","gpt3.5"
"recycling and composting are important ways to reduce waste.","gemini","the world wide web was invented by tim berners-lee in 1979.","gemini"
"volcanoes are formed when magma from the earth's interior reaches the surface.","gemini","the moon is always full.","gemini"
"the smallest country in the world by land area is vatican city.","gemini","the moon's temperature can range from -270 degrees celsius to 227 degrees celsius.","gemini"
"a kilometer is shorter than a mile.","gpt4","gold is lighter than feathers.","gpt4"
"water makes up about 60% of the human body.","gemini","the most popular painting of all time is ""the starry night"" by vincent van gogh (1889).","gemini"
"zebras have black and white stripes.","gpt4","deers are capable of flying.","gpt4"
"a tomato is a fruit.","gpt4","the liver is responsible for filtering waste from the blood.","gemini"
"the tikal is a mayan city located in guatemala.","gemini","the large intestine is responsible for producing insulin and other hormones.","gemini"
"water is essential for hydration.","gpt3.5","volcanoes produce snow","gpt4"
"the giant sequoia is the tallest tree in the world.","gemini","the volga river is the second longest river in russia.","gemini"
"alexander graham bell was a famous inventor who developed the telephone.","gemini","fire is a living being.","gpt3.5"
"rubber is a good insulator.","gpt4","the first iphone was released in 2000.","gemini"
"the dead sea scrolls were discovered in qumran, israel, in the 1940s.","gemini","the human muscular system consists of only two muscles.","gpt3.5"
"enzymes are proteins that speed up chemical reactions in the body.","gemini","protons have a positive charge.","gemini"
"dogs are a type of domesticated animal.","gpt4","the human sense of smell is not closely linked to memory.","gpt3.5"
"the international space station is a habitable space station orbiting the earth.","gpt3.5","the grass is red.","gemini"
"cheese is made from milk.","gpt3.5","all koalas live in trees.","gemini"
"33. the human brain contains approximately 86 billion neurons.","gpt4","the sahara desert is smaller than a backyard.","gpt3.5"
"winter is the coldest season","gpt4","potatoes are a type of metal.","gpt3.5"
"an octopus has three hearts.","gpt3.5","the brain is not the control center of the human body.","gemini"
"hummingbirds can fly backward.","gemini","ants are solitary insects","gpt3.5"
"the wright brothers' first powered flight lasted for 12 seconds.","gpt3.5","bees play no role in pollination.","gpt3.5"
"heat is a form of energy that flows from a hotter object to a colder object.","gemini","crocodiles can fly.","gpt4"
"a balanced breakfast is important for a productive day.","gpt3.5","the galapagos islands do not have any unique wildlife.","gpt3.5"
"the berlin wall was built in 1961 and demolished in 1989.","gemini","the human body has three eyes.","gemini"
"all living things need oxygen to survive.","gemini","the first car was invented in the 1700s.","gemini"
"the united states is the third largest country in the world by land area.","gemini","the earth's atmosphere ends abruptly at outer space. (the atmosphere actually thins gradually as altitude increases, without a defined boundary between atmosphere and space.)","gpt4"
"a week consists of 7 days","gpt4","lemons are sweeter than strawberries.","gpt4"
"whales are mammals that live in water.","gpt3.5","football is a musical instrument.","gpt4"
"the yuan is worth less than the yen.","gemini","the chemical formula for water is h2so4.","gemini"
"malaria is a disease that is transmitted by mosquitoes.","gemini","the united states has the smallest economy in the world.","gemini"
"diamonds are formed under extreme pressure.","gpt3.5","the eiffel tower is in new york city, usa.","gemini"
"the hair is made of keratin.","gemini","blood is made of red blood cells, white blood cells, and plasma.","gemini"
"lions are carnivorous creatures.","gpt4","electricity is the flow of water particles.","gemini"
"the capital of italy is rome.","gemini","the coldest temperature ever recorded is 100 degrees celsius.","gpt3.5"
"the fourth largest lake in the world is lake huron.","gemini","water freezes at 10 degrees celsius and boils at 200 degrees celsius.","gemini"
"the first person to reach the summit of mount everest was edmund hillary.","gemini","the sydney opera house is a famous performing arts center in the united states.","gemini"
"the sun's diameter is about 109 times the diameter of the earth.","gemini","cows are reptiles.","gpt4"
"venus is the hottest planet in the solar system.","gpt4","a minute consists of 100 seconds.","gpt4"
"lipids are molecules that are used for energy and to store energy.","gemini","animals breathe in oxygen and exhale carbon dioxide.","gemini"
"an apple is a fruit.","gpt4","the first radio was invented by nikola tesla.","gemini"
"snow is cold.","gpt3.5","elephants can speak multiple languages.","gpt3.5"
"horses are larger than dogs.","gpt3.5","the european union is a political and economic union of 50 member states.","gemini"
"the local group of galaxies is a part of the virgo supercluster of galaxies.","gemini","rain falls from the ground to the sky.","gpt4"
"airplanes can fly.","gpt3.5","kangaroo clothes are a popular international trend.","gpt4"
"the great zimbabwe is a famous ancient city in zimbabwe.","gemini","there are more stars in the universe than atoms in the human body.","gemini"
"bones are made of calcium.","gemini","nerves transmit blood throughout the body.","gemini"
"the coldest place on earth is antarctica.","gemini","the industrial revolution began in the 20th century.","gemini"
"the united states declaration of independence was signed in 1776.","gpt3.5","the world bank was founded in 1960.","gemini"
"grapes can be made into wine.","gpt4","matter can be created or destroyed.","gemini"
"there are an estimated eight million species of living organisms on earth.","gemini","the first online video game was created in 1984.","gemini"
"the sydney opera house is the most visited tourist attraction in sydney.","gemini","digital literacy is irrelevant and has no impact on navigating the modern world.","gpt3.5"
"the burj khalifa is the tallest building in the world.","gemini","76. eating chocolate gives you acne.","gpt4"
"the amazon rainforest is located in south america.","gemini","white holes are regions of spacetime where gravity is so weak that nothing, not even light, can enter.","gemini"
"the taj mahal is a beautiful monument of love.","gemini","we are not grateful for the earth.","gemini"
"ice melts at 32 degrees fahrenheit.","gemini","the 13th amendment to the constitution established slavery in the united states.","gemini"
"robotics is a field of engineering that deals with the design, construction, operation, and application of robots.","gemini","the great barrier reef is a coral reef in china.","gemini"
"the pacific ocean is the largest ocean on earth.","gemini","the human body can withstand temperatures as high as 30 degrees celsius for a few minutes.","gemini"
"banana is a fruit","gpt4","the earth's axis of rotation is stationary, which means that the direction of the earth's axis of rotation never changes.","gemini"
"there are over 7 billion people on earth.","gemini","snow is made of sand.","gemini"
"dna is the blueprint for creating life","gpt4","turtles can leave their shells.","gpt4"
"birds can fly.","gpt3.5","the indian ocean is the smallest of the world's oceans.","gpt3.5"
"{'statement': 'the machu picchu is an ancient city in peru.'}","gemini","the cell phone was invented in the early 20th century.","gemini"
"the largest continent in the world is asia.","gemini","humans have 208 bones in their bodies.","gemini"
"hawaii is the 50th state of the united states.","gpt4","the dead sea is the saltiest body of water in the world.","gemini"
"a herbivore is an animal that only eats plants.","gpt3.5","vitamins and minerals are toxic to the body.","gemini"
"the highest mountain in the world is mount everest.","gemini","the human heart beats about 80 times per minute.","gemini"
"the largest living marine animal is the blue whale.","gemini","bananas are a type of meat.","gpt3.5"
"the most popular sport in the world is soccer.","gemini","the kidneys help to regulate blood sugar and produce urine.","gemini"
"the study of the universe is called astronomy.","gemini","the earth is the largest planet in the solar system.","gemini"
"the process of fertilization combines genetic material from two parent organisms.","gpt3.5","birds are cold-blooded.","gpt3.5"
"the earth's crust is made up of continental and oceanic plates.","gemini","the congo river is the longest river in north america.","gemini"
"cats are known for their independent nature.","gpt3.5","the desert is covered in chocolate.","gpt3.5"
"elephants are the largest terrestrial animals in the world.","gpt4","the theory of evolution states that all living things have evolved from different ancestors.","gemini"
"the louvre museum is the most visited museum in the world.","gemini","the leaning tower of pisa is located in brazil.","gpt3.5"
"the grand canyon is a physical feature in arizona.","gpt4","sharks can live in fresh water.","gpt4"
"roses are a popular flower symbolizing love and beauty.","gpt3.5","the glaciers of the arctic ice sheet contain less than 5% of the world's fresh water.","gemini"
"the human brain weighs about 3 pounds.","gemini","butterflies can do gymnastics.","gpt3.5"
"pollution is a major problem in many cities around the world.","gemini","the capital of california is los angeles.","gemini"
"the oldest tree in the world is located in japan.","gemini","there is no cure for polio.","gemini"
"the bones protect the body and support its structure.","gemini","the bermuda triangle is a natural phenomenon caused by underwater volcanoes.","gemini"
"the blood vessels carry blood throughout the body.","gemini","atoms of different elements cannot combine to form compounds.","gpt3.5"
"rocks are made up of minerals.","gpt3.5","the tallest mountain is under the sea.","gpt4"
"the first person to walk on the surface of the moon was neil armstrong.","gemini","the reproductive system is only present in females.","gpt3.5"
"the greenwich mean time (gmt) is the time zone based on the prime meridian.","gemini","the respiratory system allows us to smell.","gemini"
"300,000 km/s is the speed of light in a vacuum.","gemini","the first airplane was built by leonardo da vinci in the 15th century.","gemini"
"there are 52 states in the united states of america.","gemini","the metropolitan museum of art is located in london.","gpt3.5"
"the speed of an object in motion can be calculated as the distance traveled divided by the time taken.","gpt3.5","resilience is not important for creating a more sustainable future.","gemini"
"the soviet union was a country that existed from 1922 to 1991.","gemini","the human body is mostly made up of metal.","gemini"
"oranges contain vitamin c","gpt4","data science is a field that deals with the collection, analysis, and interpretation of feelings.","gemini"
"humans are part of the animal kingdom.","gpt3.5","the moon emits its own light.","gpt3.5"
"pandas' main diet is bamboo.","gpt4","the average lifespan of a human being is about 120 years.","gemini"
"the first computer was called the eniac and was built in 1946.","gemini","there are about 200 billion stars in the milky way galaxy.","gemini"
"an apple falls from the tree due to gravity","gpt4","the hubble space telescope is a joint project of the united states and nasa.","gemini"
"the concept of natural selection was proposed by charles darwin.","gpt3.5","the immune system protects the body from allergies.","gemini"
"the process of erosion involves the gradual wearing away of land or rock by natural forces.","gpt3.5","the human population is estimated to be over 10 billion.","gemini"
"the angkor wat temple complex in cambodia is a unesco world heritage site.","gemini","penguins are mammals.","gpt4"
"carbohydrates, proteins, and fats are the three main types of macronutrients.","gemini","the chemical equation for photosynthesis is co2 + h2o - c6h12o6 + o2.","gpt3.5"
"honey is sweet in taste.","gpt3.5","the sydney opera house is a unesco world heritage site.","gemini"
"the world wide web is a system of interlinked hypertext documents accessed via the internet.","gemini","humans breathe underwater without aid.","gpt4"
"china is the most populous country in the world.","gemini","the digestive system produces food.","gemini"
"biodiversity is essential for maintaining healthy ecosystems.","gpt3.5","plants do not undergo photosynthesis.","gpt3.5"
"the missouri river is the longest tributary of the mississippi river.","gemini","snakes do not lay eggs","gpt4"
"wolves live in packs.","gpt3.5","roses are ugly flowers symbolizing hate and ugliness.","gpt3.5"
"the function of the liver includes detoxification, protein synthesis, and bile production.","gpt3.5","the third most populous country in the world is india.","gemini"
"koalas live in australia.","gpt4","the small intestine is about 1 meter long.","gemini"
"the iphone uses ios as its operating system.","gpt3.5","the human body is made up entirely of water.","gpt4"
"the force of gravity accelerates objects at a rate of 9.8 meters per second squared.","gpt3.5","cats are a type of bird.","gpt4"
"the endocrine system regulates growth and metabolism.","gemini","the currency of japan is the us dollar","gpt4"
"the urinary system is responsible for filtering waste products from the blood and producing urine.","gemini","cars are living organisms.","gpt4"
"coffee beans are actually the pit of a berry.","gpt4","the chemical symbol for oxygen is o.","gemini"
"the human ear can hear sounds from 20 to 20,000 hertz.","gemini","new york city is the capital of usa","gpt4"
"a century is a period of one hundred years.","gemini","a newborn baby's head is half of its total body length.","gemini"
"the human stomach weighs about 2 pounds.","gemini","the concept of torque has no relation to the rotational force acting on an object.","gpt3.5"
"paper is made from trees.","gpt4","enzymes are carbohydrates.","gemini"
"the south pole is located at 90 degrees south latitude.","gemini","the planet venus is often called the 'morning star.'","gpt3.5"
"proteins are molecules that are essential for life.","gemini","dogs can fly.","gemini"
"babies are born unable to walk.","gpt4","the average person takes about 50,000 breaths per day.","gemini"
"deer are herbivores.","gpt4","bats are blind. (bats are not blind. some species can actually see better than humans.)","gpt4"
"cryptocurrency is a digital currency that uses cryptography to secure transactions and control the creation of new units.","gemini","all animals are carnivores.","gemini"
"a kilometer is longer than a meter.","gpt4","dolphins live in forests","gpt4"
"the fourteenth amendment to the constitution guaranteed equal protection under the law to all citizens.","gemini","roses are not flowers.","gpt3.5"
"the capital of malaysia is kuala lumpur.","gemini","the earth is the only planet in the solar system with liquid water.","gemini"
"book is a noun.","gpt4","the capital of italy is milan.","gemini"
"the human lungs hold about 5 liters of air.","gemini","the reptilian elite control world governments.","gpt3.5"
"dogs are a subspecies of wolves","gpt4","the loch ness monster is a hoax.","gemini"
"the muscular system is responsible for movement.","gemini","the calendar year is divided into 13 months.","gemini"
"photosynthesis is how plants make their food.","gpt4","the petra is located in egypt.","gemini"
"the first human heart transplant was performed by christiaan barnard.","gemini","the kidneys filter water from the blood.","gemini"
"the first president of the united states was george washington.","gemini","the speed of light is 1 meter per second.","gpt3.5"
"cats are known to be mammals.","gpt4","the world's smallest bird is the ostrich.","gemini"
"snakes are carnivorous.","gpt4","the first car was built by henry ford.","gemini"
"milk contains calcium.","gpt4","hiking is a miserable experience.","gpt3.5"
"the dead sea is a salt lake bordered by jordan to the east and israel to the west.","gpt3.5","caffeine stunts your growth.","gemini"
"bananas grow on plants officially considered herbs.","gpt4","all dogs are good swimmers.","gemini"
"the large intestine absorbs water and electrolytes from food.","gemini","the dead sea scrolls are ancient manuscripts found in jerusalem, israel.","gemini"
"the surface area of the human lungs is about the size of a tennis court.","gemini","rocks can float on water.","gpt4"
"honeybees are vital pollinators for many plant species.","gpt3.5","fossils are fake artifacts.","gpt3.5"
"the dodo bird became extinct in the late 17th century.","gpt3.5","bears build nests in trees.","gpt4"
"the brahmaputra river is the longest river in bangladesh.","gemini","cars do not need fuel to run.","gpt4"
"mangoes are tropical fruits.","gpt3.5","humans have tails.","gpt3.5"
"a fish is a cold-blooded vertebrate animal that lives in water and has gills.","gemini","life expectancy declined with the invention of fire","gpt4"
"a lizard is a small, four-legged reptile that typically has a long tail.","gemini","the moon is the largest object in the solar system.","gemini"
"kangchenjunga is the third-highest mountain in the world.","gemini","spiders are insects.","gpt3.5"
"white light can be split into seven colors","gpt4","lions are herbivorous animals","gpt3.5"
"the moai statues are located on easter island.","gpt3.5","oil and water mix.","gemini"
"the planet neptune is the farthest planet from the sun in our solar system.","gpt3.5","the future of the universe is bleak.","gemini"
"hurricanes are large, rotating storms that form over the ocean.","gemini","the earth is an ugly and boring planet.","gemini"
"maintaining a positive social support network is important for mental well-being.","gpt3.5","the stomach is responsible for digesting metal and absorbing nutrients.","gemini"
"humans have ten fingers and ten toes.","gemini","the berlin wall was a barrier that divided london, england, from 1961 to 1989.","gemini"
"new york city is also known as the big apple.","gpt3.5","the currency of canada is the euro.","gpt3.5"
"we should cherish every moment.","gemini","the human eye has a single layer.","gpt3.5"
"the currency of the united kingdom is the british pound.","gpt3.5","the capital of vietnam is ho chi minh city.","gemini"
"the danube river is a major river in europe.","gemini","cats are the only animals that can drink milk.","gemini"
"running improves cardiovascular health.","gpt3.5","the average person spends about 3 hours per day on their smart speaker.","gemini"
"mars is the fourth planet from the sun.","gemini","cars run on orange juice","gpt4"
"the human body has five senses.","gpt3.5","the great zimbabwe is located in south africa.","gemini"
"the kremlin is the most visited tourist attraction in moscow.","gemini","the earth is going to be destroyed by a nuclear war.","gemini"
"the mona lisa's real name is lisa gherardini.","gemini","the human nose can smell millions of different scents.","gemini"
"the moon's phases are caused by the moon's position in its orbit around the earth.","gemini","the average lifespan of a human being is about 50 years.","gemini"
"clouds are formed by tiny water droplets or ice crystals.","gemini","the fountain of youth is a real place.","gemini"
"honey is the only food that doesn't spoil.","gemini","fish can walk on land.","gpt3.5"
"a company has 500 employees. 200 of the employees are managers. what percentage of the employees are managers?","gemini","lack of sleep promotes optimal functioning.","gpt3.5"
"mount fuji is the highest mountain in japan.","gpt3.5","the universe is a simulation.","gemini"
"learning to play a musical instrument can enhance cognitive abilities.","gpt3.5","the lungs are responsible for water exchange.","gemini"
"supernovas are the explosions of massive stars.","gemini","the first american president was george washington.","gemini"
"laughing is good for your health.","gpt4","the apollo 13 mission was the first manned mission to the moon.","gemini"
