"question","truth","falsehood","split"
"Do nonvascular or vascular plants have a dominant sporophyte generation?","vascular","nonvascular","train"
"In mismatch repair, other enzymes remove and replace incorrectly paired nucleotides that have resulted from what?","replication errors","typing errors","train"
"What two structures are found on mars?","volcanoes and canyons","geysers and canyons","train"
"What substances dissociate into ions when dissolved in water?","ionic","isotopes","train"
"Organisms that depend on other organisms for food play what role in the food chain?","consumer","fungus","train"
"What is the growing root tip protected by?","root cap","root flap","train"
"Ocean water appears cyan because microbes in the water preferentially absorb what color of light?","red","blue","train"
"Both energy and heat can be expressed in units of what?","joules","amperes","train"
"In fact, when sitting in the sun, many ectothermic lizards have higher body temperatures than what?","mammals","carnivores","train"
"In binary fission how many times does a cell split?","two","four","train"
"What kind of fertilization do birds have?","internal fertilization","deep fertilization","train"
"What is the smallest unit of structure and function of all living organisms?","cell","atom","train"
"What do waves deposit in relatively quiet areas along a shore?","sand","fish","train"
"Plant cells have cell walls that are made of what?","cellulose","carbonate","train"
"Where does the krebs cycle take place?","in the matrix","in the nitrogen","train"
"What state of matter is like a liquid in that particles are in contact with each other, but unlike liquids in that the intermolecular forces are strong enough to hold the particles in place?","solids","plasmas","train"
"What is the term for a natural situation which arises to physically divide organisms?","vicariance","assimilation","train"
"Digestion of carbohydrates is performed by several enzymes. starch and glycogen are broken down into glucose by amylase and maltase. sucrose (table sugar) and lactose (milk sugar) are broken down by sucrase and this?","lactase","lipase","train"
"What is defined as a phasic change in muscle tone?","spasticity","elasticity","train"
"What is a force that opposes motion between any surfaces that are touching?","friction","vibration","train"
"What are structures that have a common function and suggest common ancestry?","homologous structures","reversible structures","train"
"Which  type of cell division halves the number of chromosomes?","meiosis","fragmentation","train"
"Objects in motion that return to the same position after a fixed period of time are said to be in what?","harmonic motion","resonant motion","train"
"What is the relationship of multiple action potentials from a single cell resulting in a significant change in the membrane potential?","temporal summation","nature summation","train"
"What disease associated with smoking involves breakdown of walls of the alveoli, resulting in less gas exchange by the lungs?","emphysema","leukemia","train"
"Tuataras, lizards, and snakes are members of what subclass of reptiles?","lepidosaurs","dinosaurs","train"
"Molds and yeasts are organisms in what kingdom?","fungus","tissues","train"
"Bacteria can be used to make cheese from milk. the bacteria turn the milk sugars into what?","lactic acid","acetic acid","train"
"Independent assortment occurs when what go to opposite poles of the cell in anaphase i?","chromosomes","receptors","train"
"What term is used to describe an immunity that occurs after exposure to an antigen either from a pathogen or a vaccination?","adaptive immunity","variation immunity","train"
"Changes in temperature, ph, and exposure to chemicals may lead to permanent changes in the shape of a protein, leading to loss of function known as what?","denaturation","digestion","train"
"What term is used to describe phages capable of using both modes of replicating within a bacterium?","temperate phages","moderate phages","train"
"Many observatories are built on high mountains to avoid interference from what?","the atmosphere","airplanes","train"
"Like earth, the moon has a distinct crust, mantle, and what else?","core","temperature","train"
"Reflection, refraction, and diffraction are examples of what type of interaction?","waves","winds","train"
"What type of molecules are found in the hydration shell of a dissolved ion?","water","iron","train"
"Potential energy is present in objects that are what?","elastic","crystals","train"
"How many pairs of upper jaws do insects have?","two pairs","four pairs","train"
"Name the white blood cells that can squeeze through capillary walls and swallow particles.","neutrophils","platelets","validation"
"What is formed when hot lava cools?","mineral crystals","hydrogen crystals","train"
"What type of receptors, also known as intracellular or cytoplasmic receptors, are found in the cytoplasm of the cell and respond to hydrophobic ligand molecules that are able to travel across the plasma membrane?","internal","external","train"
"Why is water important for the nervous system?","to prevent dehydration","to carry nutrients","train"
"What term means the tendency of a mineral to break along certain planes?","cleavage","cavity","train"
"What are the parts used in electronic devices such as computers called?","electronic components","batteries","train"
"What type of function does the long bone perform?","work as lever","acts as pivot","train"
"Metabolism includes both anabolic and which other reaction?","catabolic","organic","train"
"A virus is essentially dna or rna surrounded by a coat of what?","protein","acids","train"
"What is the process of generating electric current with a magnetic field?","electromagnetic induction","mechanical induction","train"
"Increasing what property of dirt would make it easier to rinse off your hands?","solubility","turbidity","train"
"Net production efficiency allows ecologists to quantify how efficiently organisms of a particular what incorporate the energy they receive into biomass?","trophic level","hypothesized level","train"
"Some hormones produced by the anterior pituitary regulate the production of hormones by other tissues belonging to what system?","endocrine","nervous","train"
"A warm-air heating system uses what kind of energy to heat air?","thermal","atmospheric","train"
"Which type of galaxies contain very little gas and dust, are red to yellow in color, contain over a trillion stars and have mostly old stars?","giant elliptical galaxies","blue elliptical galaxies","train"
"What is a controlled scientific test that often takes place in a lab?","an experiment","a testing","train"
"What causes the endometrium to thicken during a menstrual cycle?","estradiol","testosterone","train"
"What process refers to the conversion of atmospheric nitrogen to ammonia?","biological nitrogen fixation","biological nutrient fixation","train"
"What is it called when two species evolve matching traits?","coevolution","Allopatric speciation","train"
"What is the term for water that falls from clouds?","precipitation","lightning","train"
"Echinoderms lack what type of system that in humans consists of the brain and spinal cord?","centralized nervous system","autonomic system","train"
"What class of invertebrate animals has additional appendages called the chelicerae and the pedipalps?","arachnid","fish","train"
"The burning of what type of fuels is a major source of sulfur oxides and nitrogen oxides?","fossil","biofuels","train"
"What is the science of classifying living things is called?","taxonomy","entomology","train"
"What is it called when your joints start to wear out and they become stiff and painful?","arthritis","adenitis","train"
"Which radiations helps sterilize medical supplies?","ionizing radiation","gamma radiation","train"
"What type of gas is a harmless gas that living things add to the atmosphere during respiration?","carbon dioxide","helium","train"
"If two chlorine atoms share their unpaired electrons by making a covalent bond and forming cl2, they can each complete their what?","valence shell","hypothesized shell","train"
"Which currents distribute heat around the planet and have a large impact on climate?","surface","air","train"
"It was not until the era of the ancient greeks that we have any record of how people tried to explain the chemical changes they observed and used. at that time, natural objects were thought to consist of only four basic elements: earth, air, fire, and this?","water","sky","train"
"In science, what do we call a mathematical relationship that exists between observations under a given set of conditions?","law","idea","train"
"What conducts nerve-like electrical signals that help integrate whole-plant function?","the ploem","the stem","train"
"Found in many products, such as petri dishes, agar is made from mucilagnious material in this?","seaweed","fungi","train"
"What is the process of capturing a substance or particle from outside the cell by engulfing it with the cell membrane?","endocytosis","metastasis","train"
"What are the layered rocks that form when certain prokaryotes bind thin films of sediment together?","stomatolites","stalagmites","train"
"Where are the taste buds located in humans?","tongue","lips","train"
"What describes the way light reflects off of the surface of the mineral?","luster","intensity","train"
"What tissue consists of cells that form the body’s structure?","connective","reproductive","train"
"What forms at the boundary between two air masses?","a front","a cool","train"
"Nitrogen wastes are produced by the breakdown of what during normal metabolism?","proteins","enzymes","train"
"In the humoral response, what protein substances help neutralize or eliminate toxins and pathogens in the blood and lymph?","antibodies","platelets","train"
"Most ferns produce the same type of spores and are therefore called what?","homosporous","seeds","train"
"In which way do sunspots occur?","in pairs","by themselves","train"
"What is the most important source of electromagnetic waves on earth?","the sun","cell phones","train"
"Conifers are the dominant phylum of gymnosperms, with the most variety of species. most are tall trees that usually bear scale-like or needle-like leaves. the thin shape of the needles and their waxy cuticle limits water loss through this?","transpiration","evaporation","train"
"Connecting to the brainstem and extending down the body through the spinal column is the spinal cord. the spinal cord is a thick bundle of nerve tissue that carries information about the body to this?","brain","lungs","train"
"Where do most cubozoans live?","tropical oceans","arctic oceans","train"
"What type of treatment is being researched that may cure or prevent genetic disorders?","gene therapy","variation therapy","train"
"What are the names of foul-smelling amines, formed as a part of the decay process after death?","cadaverine and putrescine","formaldehyde and cadaverine","train"
"What's it called when the reaction is sped up until equilibrium is established?","favoring","limiting","train"
"What are the smallest particles of water called?","molecules","hydrogen","train"
"The hormone androgen increases aggressiveness and promotes what type of behaviors?","sexual","nervous","train"
"Gas, liquid, and solid describe what property of matter?","states","Chemical","train"
"Differences in fitness among different members of a population can lead to what kind of selection?","natural selection","fluid selection","train"
"What cells carry oxygen?","red blood cells","marrow cells","train"
"What coenzyme is used in the transfer of energy in muscles?","atp or adenozine triphosphate","carbolic acid","train"
"What type of solid has atoms arranged in a repeating pattern?","crystals","ions","train"
"Natural resources that are limited in supply and cannot be replaced except over millions of years are known as what?","nonrenewable","precious","train"
"What is a hydrocarbon in which the carbon chain joins to itself in a ring?","cyclic hydrocarbon","asymmetrical hydrocarbon","train"
"The first photosynthetic organisms were not plants, but types of what that lived in the water?","bacteria","pathogens","train"
"What is the second stage of photosynthesis?","production of glucose","pigment release","train"
"Which layer is the lithosphere located?","outermost layer","eclipses layer","train"
"What is speed at any given instant called?","instantaneous speed","spontaneous speed","train"
"During birth, a baby passes from the uterus through what organ to leave the body?","the vagina","Ovary","train"
"What type of earthquake creates a tsunami?","underwater","Tectonic","train"
"What is the smallest of the galilean moons?","europa","phoebe","train"
"What is the term for a combination of substances in which there is no chemical reaction?","a mixture","a combination","train"
"Where does the majority of chemical digestion occur?","small intestine","stomach","train"
"The vertebrate endoskeleton includes a vertebral column, cranium, limbs, and what else?","limb girdles","tissue girdles","train"
"What is defined as the velocity of the object at a given moment?","instantaneous velocity","specific gravity","train"
"What is the term for an expression showing the relationship of the reaction rate to the concentrations of each reactant?","rate law","decay law","train"
"How many pi bonds are found in a triple bond?","two","10","train"
"What is formed when an acidic solution and a basic solution react together in a neutralization reaction?","salt","Sodium","train"
"What is the causative agent of sleeping sickness in humans?","trypanosoma brucei","pseudomonas asplenii","train"
"Living things that use energy to make food, both for themselves and other living things, are what part of an ecosystem?","producers","consumers","train"
"In science, what process produces evidence that helps answer questions and solve problems?","investigation","information","train"
"What cellular structure is used during endocytosis to allow molecules to enter the cell?","vesicles","nucleus","train"
"What are unique about prokaryotic cells' organelles?","not membrane-bound","no cell walls","train"
"How long ago did the ancestors of mammals evolve?","300 million years","10 million","train"
"What is the substance called whenatoms of different elements join together?","compounds","crusts","train"
"Some marine algae have evolved special structures capable of what plant process?","photosynthesis","pollination","train"
"What kind of beneficial relationships with other organisms are common in the plant kingdom?","mutualistic","symbiotic","train"
"A life cycle continues through reproduction and what?","development","response","train"
"Which asexual reproduction method do starfish use to reproduce?","fragmentation","fission","train"
"What enables gamma rays to pass through hard matters like bones, teeth, and just about anything?","their extremely high energy","Weight","train"
"What type of mammals includes opossums, kangaroos, and koalas?","marsupials","crustaceans","train"
"What do we call animals that have a backbone and belong to the phylum chordata?","vertebrates","organelles","train"
"Living organisms are affected by changes in ph which can include basic conditions and what other kinds of conditions?","acidic","carbolic","train"
"What makes up most of the interior of a plant?","ground tissue","conjunction tissue","train"
"What part of a plant, which is attached to its stem nodes, is the ""main organ"" of photosynthesis?","leaves","flowers","train"
"Experiments have shown that acceleration is exactly inversely proportional to mass, just as it is exactly linearly proportional to what?","net external force","net internal force","train"
"What term describes a disease in which the immune system attacks the body’s own cells?","autoimmune","contagious","train"
"Flow of what can introduce alleles that are advantageous or ones that are disadvantageous?","genes","babies","train"
"Bacteria are like eukaryotic cells in that they have cytoplasm, ribosomes, and a?","plasma membrane","cell wall","train"
"What do we call the seasonal movement of animals?","migration","population","train"
"When zinc metal is mixed with sulfur and heated, what is produced?","zinc sulfide","extraction sulfide","train"
"What cage composed of 12 pairs of ribs, with their costal cartilages and the sternum, protects the heart and lungs?","thoracic","sacral","train"
"What is the ability of an atom to emit charged particles and energy from its nucleus called?","radioactivity","accumulation","train"
"Diffusion is an effective transport mechanism over the spatial scales typically found at what level?","cellular","electromagnetic","train"
"In a car race on a circular track, where the start and finish line are the same, what quantity is neglible?","total displacement","total acceleration","train"
"What is another name for molecular compounds?","covalent compounds","phenotype compounds","train"
"The long mouth-tube that some insects  use to suck up the nectar of the flower is called what?","proboscis","stamen","train"
"Cnvs result from regions of what being duplicated or deleted inconsistently within the population?","genome","genes","train"
"Insects can have specialized mouthparts, such as a proboscis, to siphon the nectar from what?","flowers","stems","train"
"What is the invisible force that pulls things to earth?","gravity","motion","train"
"Respectively, which parts of the circulatory system carry blood from the heart toward capillaries, and return blood to the heart from capillaries?","arteries and veins","parasites and veins","train"
"Are giraffes herbivores or are they omnivores?","herbivores","neither","train"
"Ionic compounds contain cations and anions rather than what?","discrete neutral molecules","characterized neutral molecules","train"
"The chemical symbol of which ion is written first in ionic compounds?","positive metal ion","negative ion","train"
"Historically, certain bacteriophages have also been used as cloning vectors for making what?","genomic libraries","specific libraries","train"
"An allele is an alternative form of what structure?","gene","amino acid","train"
"All photosynthetic organisms contain a pigment called what?","chlorophyll","Fiber","train"
"Mammals may either be herbivores, omnivores or what else?","herbivores","carnivores","train"
"What phenomenon sometimes causes harmful alleles to become fixed?","genetic drift","natural selection","train"
"How do you determine the atomic weight of an element?","add up protons and neutrons","multiply protons and neutrons","train"
"Sodium and chlorine combine to make what?","salt","gold","train"
"What can bacterial stis be cured with?","antibiotics","antioxidants","train"
"What do bees do for flowering plants?","pollinate","eat","train"
"The energy in sunlight is also known as what kind of energy?","solar energy","kinetic energy","train"
"Deletions remove one or more what from the dna?","nucleotides","codons","train"
"For geneticists, the findings of what massive undertaking are significant in determining disease-causing alleles?","human genome project","human produce project","train"
"Does deforestation increase or decrease carbon dioxide levels around the world?","increase","accelerate","train"
"Which material used in oxyacetylene torches helps cut and weld metals?","acetylene","carbon","train"
"Peroxisomes perform a couple of different functions, including lipid metabolism and chemical detoxification. in contrast to the digestive enzymes found in lysosomes, the enzymes within peroxisomes serve to transfer hydrogen atoms from various molecules to oxygen, producing what?","hydrogen peroxide","calcium","train"
"Ethylene, gibberellins, cytokinins, absciscic acid, and auxins are examples of what?","plant hormones","insect hormones","train"
"What are some uses of chlorine gas?","cleaning, disinfecting and in swimming pools","washing hands","train"
"Designed to exchange materials, what spongy structure consists of membranes and blood vessels from both mother and embryo?","placenta","endometrium","train"
"Even though tellurium does indeed have a greater average atomic mass than iodine, it is properly placed before iodine in the?","periodic table","theory table","train"
"In a fullerene, what atoms are bonded to three other atoms in a soccer ball pattern?","carbon","hydrogen","train"
"What do you call the light particles that travel through the radiative zone?","photons","neutrons","train"
"What is a mixture of potassium nitrate, sulfur, and charcoal?","gunpowder","gasoline","train"
"Opportunistic diseases are usually the direct cause of death of people with what disease?","aids","heart","train"
"Which kind of flowers carry both male and female floral organs?","perfect flowers","creating flowers","train"
"What makes the earth habitable for humans?","abundance of water","carbonate of water","train"
"What is one problem with current methods of aluminum production?","environmental contaminants","food shortages","train"
"What is the purpose of your body's first line of defense?","to keep out pathogens","reject foreign bodies","train"
"The neck of the uterus, called the cervix, opens into what?","vagina","bladder","train"
"Where does the small intestine begin?","stomach","mouth","train"
"What type of shape does a pelvic inlet have?","oval shape","cylindrical","train"
"Which stage of life is typically easier for learning multiple languages?","childhood","adolescenc","train"
"What is released from the body during ejaculation?","sperm","saliva","train"
"An organism's unique role in the ecosystem is called its what?","niche","focus","train"
"With the exception of water, what accounts for more mass than any other component of living organisms?","proteins","hormones","train"
"Atoms are combined, separated, or rearranged during what?","chemical reactions","spontaneous mutation","train"
"How many electrons does lithium have?","three","four","train"
"What is considered the center of the solar system?","sun","nebulla","train"
"What functions as a framework that reinforces the shape of the leaf?","the vascular structure","the normal structure","train"
"In what type of body of water is most of the earth's water located?","oceans","streams","train"
"Like quarks, gluons may be confined to systems having a total color of what?","white","yellow","train"
"The ozone layer protects the earth from what?","uv radiation","pollution","train"
"What type of learning is based on past experience and reasoning?","insight","experiment","train"
"What type of energy from a warm cola results in melting when it is transferred to the much colder ice?","thermal energy","protective energy","train"
"What is the term for a connection between a neuron and its target cell?","synapse","dendrite","train"
"What does the slope of a position-time graph represent?","velocity","trajectory","train"
"What effect causes an object to appear to have a change of motion?","coriolis effect","momentum effect","train"
"What does the blue color of the pulmonary arteries reflect?","they are deoxygenated","they are lost","train"
"Digestion of polysaccharides and disaccharides in the small intestine produces glucose and other?","monosaccharides","nitrates","train"
"What is the term for the smallest blood vessels?","capillaries","muscles","train"
"What is the name of an uncharged particle whose weight is nearly equal to that of a proton?","a neutron","a nuclei","train"
"What is the opposite of rarefaction zones, where air molecules in waves are loosely packed?","compression zones","molecules zones","train"
"A measure of how close a series of measurements are to one another is what?","precision","calculation","train"
"What organs secrete hormones that help maintain homeostasis?","the kidneys","the digestion organs","train"
"Which scientist built the first telescope?","galileo","einstein","train"
"What type of bacteria change nitrogen gas from the atmosphere to nitrates in soil?","nitrogen fixing bacteria","hydrophylic bacteria","train"
"If no unbalanced force acts on an object the object remains at constant velocity or what?","at rest","rotating","train"
"What group of organisms was initially misclassified as plants because they also lack the ability to move, grow in soil, and have cell walls?","fungi","protozoa","train"
"How does the epidermis renew its layer?","shedding dead cells","loofah","train"
"What is it called when crystals form from magma?","crystallization","sedimentation","train"
"What type of symmetry does an octopus have?","bilateral","internal","train"
"What is necessary in a person who wishes to play wind instruments?","healthy lungs","strong hands","train"
"What is the scientific term for climates with the least moisture?","arid","mediterannean","train"
"What's the term for a piece of an organism breaking off and forming a new organism?","fragmentation","depletion","train"
"Most people can survive only a few days without what essential substance?","water","air","train"
"The vegetal pole refers to the concentration of what toward one pole of an egg?","yolk","light","train"
"What machines have scientist built to smash particles that are smaller than atoms into each other head-on?","particle accelerators","energy accelerators","train"
"What type of relationship occurs between organisms when one member benefits without affecting the other?","commensalism","cooperative","train"
"The type of what dictates how far it can penetrate into matter, such as lead or human flesh?","radiation","insulation","train"
"What role do proteins play in a biological reaction?","act as catalysts","amino acid chains","train"
"Muscles are composed mostly of cells called what?","muscle fibers","muscle organelles","train"
"Conifers are the most prevalent type of what plant group?","gymnosperms","theropods","train"
"What element enters the body when an organism breathes?","oxygen","helium","train"
"Bonding in molecules with resonance forms is better described by which theory?","molecular orbital theory","Geiger theory","train"
"In places like the grand canyon, hard rocks that are resistant to weathering form what, while softer rocks that weather more easily form slopes?","cliffs","valleys","train"
"When two skateboarders push against each other what happens?","they move apart","they stick together","train"
"The three layers of protective coverings of the spinal cord is called what?","meninges","dermis","train"
"What powerful microscopes use a beam of subatomic particles instead of a beam of light?","electron microscopes","complex microscopes","train"
"One common form of mate choice, called assortative mating, is an individual’s preference to mate with partners who are what?","similar to themselves","close to themselves","train"
"Fusion is another nuclear process that can be used to produce energy. in this process, smaller nuclei are combined to make larger nuclei, with an accompanying release of this?","energy","food","train"
"Helium-3 is produced by beta decay of a certain what?","nuclide","electron","train"
"The nuclear envelope is a double-layered plasma membrane like the cell membrane, although without what?","membrane proteins","cell walls","train"
"What is another name for a radioactive isotope?","radiostope","nono particle","train"
"Dietary proteins are broken down into amino acids during what process?","digestion","accumulation","train"
"Some gametophytes develop underground and form mycorrhizal associations with what?","fungi","protists","train"
"What is the nervous tissue in the brain and in the rest of the nervous system made up of?","neurons","electrons","train"
"How do planets usually rotate to their orbital planes?","nearly perpendicular","exactly perpendicular","train"
"What are algae that live in colonies of hundreds of cells called?","volvox","chlorophyta","train"
"Irrigation can waste a lot of what natural resource?","water","habitat","train"
"What drives puberty in male humans?","testosterone","bloodstream","train"
"What is our largest source of energy?","coal","wind","train"
"What do animals require to grow and develop?","food","sunlight","train"
"What are the dark areas that appear on the sun called?","sunspots","coronas","train"
"What term is used to describe the process by which organisms give rise to offspring?","reproduction","variation","train"
"What are the nonliving matter that living things need called?","nutrients","fluids","train"
"What term is used to express the measurement of how high land is above sea level?","elevation","knots","train"
"A pulley is a simple machine that consists of a grooved wheel and?","a rope","a battery","train"
"What is another name for a broad explanation that is supported by a great deal of evidence?","theory","hypothesis","train"
"Vinegar is a solution of which acid?","acetic","boric","train"
"Which system does the large and small intestine belong to?","digestive system","LYMPHATIC","train"
"Particles of matter have the most definite shape in what material state?","solid","plasma","train"
"What body system allows humans to move?","muscular system","digestive system","train"
"High decibel sounds can damage your?","ears","nose","train"
"A  d. melanogaster population has an average heterozygosity of what?","14%","19 %","train"
"Traits that are affected by more than one gene are what type of traits?","polygenic traits","monogenetic","train"
"Pharmacist and surveyor are two career options based in what type of science?","physical","obvious","train"
"A newborn baby has a soft spot on the top of its head. over the next few months, the soft spot gradually does what?","hardens","weakens","train"
"Name the three types of muscle tissue.","skeletal, smooth, cardiac","cardiac, smooth, long","train"
"Cellular respiration and photosynthesis are important parts of which cycle?","carbon cycle","vapor cycle","train"
"What are the winds that occur in belts that encircle the planet?","global winds","global rains","train"
"Human mammary glands can produce what substance, which can be used to feed children?","milk","edema","train"
"What is a prerequisite for fertilization to take place in plants?","pollination","mitosis","train"
"Water is allowed to flow downhill into a large turbine to harness power. what helps the turbine spin?","kinetic energy","residual energy","train"
"The movement of bone away from the midline of the body is called what?","extension","spring","train"
"What occurs when so much water enters a stream or river that it overflows its banks or when deep snow melts very quickly in spring?","flooding","drought","train"
"What is the cause of the “heartburn” that occurs when acidic digestive juices escape into the esophagus?","acid reflux","toxic reflux","train"
"By 180 million years ago, pangaea began to do what?","break up","combine","train"
"What has  a single voltage source and a single resistor","simple circuit","complex circuit","train"
"What property is associated with the number of reactant molecules involved in an elementary step?","molecularity","kilocalorie","train"
"During an earthquake, wet soils become like what?","quicksand","sand","train"
"What helps sound travel in waves?","gases","molecules","train"
"What kind of relationship between glucagon and insulin is vital to managing fuel storage and consumption by body cells?","antagonistic","opportunistic","train"
"The yellowstone hot spot is a famous example of a what?","continental hot spot","form hot spot","train"
"Ionic compounds take on the form of extended three-dimensional arrays of cations and what else?","anions","oxides","train"
"Electric generators convert what type of energy to electric energy?","mechanical energy","electromagnetic energy","train"
"What can autographs do that heterotrophs cannot do?","make their own food","live without water","train"
"The primary amine in which the nitrogen atom is attached directly to a benzene ring has a special name, what is it?","aniline","nitrate","train"
"What  is formed when each sodium atom donates its single valence electron to a chlorine atom?","sodium chloride","carbon chloride","train"
"The fujita scale measures the intensity of what weather event, based on wind speed and damage?","tornado","sandstorm","train"
"What allows the electrons to move in an electrochemical system.","conductor","conduction","train"
"What is the term for the metabolic reaction where living systems build new molecules?","anabolism","symbolism","train"
"Why are living things considered to be renewable?","they reproduce","they inherit traits","train"
"Mosses, liverworts, and hornworts are examples of what type of plant in which gametophyte generation is dominant?","nonvascular plants","choanocyte plants","train"
"All three types of convergent plate boundaries produce what destructive phenomenon?","earthquake","storm","train"
"Early in the development of a human fetus, the skeleton is made entirely of what?","cartilage","bones","train"
"What type of disease can be treated by radioactive elements in glucose?","cancer","mutation","train"
"What theory of gases describes this state of matter as composed of tiny particles in constant motion with a lot of distance between the particles?","kinetic","magnetic","train"
"When egg laying and mating occur together, as in external fertilization, the certainty of what is high?","paternity","germination","train"
"What control reproductive cycles, which are in turn regulated by environmental cues?","hormones","brain waves","train"
"Which gas is responsible for global warming?","carbon dioxide","oxygen","train"
"The short length of what in women is the best explanation for the greater incidence of uti in women?","urethra","vagina","train"
"What type of cells are flagella rare in?","eukaryotic","intracellular","train"
"Solids and liquids are phases of matter that have their own unique what?","properties","volumes","train"
"What do many fungi secrete that break down complex molecules to smaller molecules that can be absorbed?","enzymes","hormones","train"
"How do plants obtain their energy?","photosynthesis","glycolysis","train"
"The shape of earlobes is an example of what kind of trait, which is influenced by genes and passed along through generations?","inherited trait","instinct","train"
"The mouth, stomach, esophagus, small intestine, and large intestine are all part of what organ system?","digestive","muscular","train"
"Particulates from cigarette smoke that enter what structures can cause a permanent reduction in lung capacity?","alveoli","chambers","train"
"Terrestrial arthropods generally have internal surfaces specialized for what?","gas exchange","water uptake","train"
"What are the two groups that tripoblastic eucoelomates can be divided into based on early embryonic development differences?","protostomes and deuterostomes","protostomes and eurostomes","train"
"What part of the cell is surrounded by a membrane and holds the genetic information for the cell?","nucleus","cell wall","train"
"What are angiosperms most important function to humans?","food","oxygen production","train"
"How many atoms are evenly organized around a central atom?","six","four","train"
"What are formed by atoms gaining electrons?","anions","ions","train"
"What type of fish are the majority of living species?","ray-finned fish","cartilaginous fish","train"
"What are the light highlands of the moon called?","terrae","mariae","train"
"The simplest type of battery contains what?","single cell","water","train"
"Microwaves are converted into what kind of energy in a microwave oven?","thermal energy","solar energy","train"
"What is a layer of saturated porous rock?","an aquifer","a shear","train"
"What is the process of moving air into and out of the lungs called?","ventilation","naturalization","train"
"Memory t cells are long-lived and can even persist for how long?","lifetime","eons","train"
"What fluid becomes less viscous, allowing for better joint function after stretching?","synovial","proximal","train"
"Chains of small molecules called nucleotides make up what?","nucleic acids","chromosomes","train"
"What is the preferred method for separating late transition metals from their ores?","hydrometallurgy","hydraulics","train"
"When na 2 hpo 24 − (the weak acid) comes into contact with a strong base, such as sodium hydroxide (naoh), the weak acid reverts back to the weak base and produces what?","water","rock","train"
"What system is designed to facilitate the transformation of food matter into the nutrient components that sustain organisms?","digestive","tissue","train"
"What are the sporophytes in ferns?","leafy plants","spores","train"
"The measure of how much a given volume of matter decreases when placed under pressure is called?","compressibility","elasticity","train"
"What are two major categories of mutations?","germline and somatic","homologous and somatic","train"
"Chemical equations in which heat is shown as either a reactant or a product are called what?","thermochemical equations","hydroelectric equations","train"
"Clams, oysters, scallops, and mussels are examples of what type of species?","mollusks","mammals","train"
"What is it called when a charge moves against a field?","work","momentum","train"
"The as yet undiscovered grand unified theory is a search to unify laws of what branch of science?","physics","genetics","train"
"What basic cell structure is made up of a phospholipid bilayer and two layers of phospholipid molecules?","cell membrane","cell cartilage","train"
"Earthworms and ants possess what type of bodies, which means division into multiple parts?","segmented","elongated","train"
"Gfci stands for ground-fault circuit what?","interrupter","inspiration","train"
"What genetic unit is formed when the dna double helix wraps around proteins and tightly coils a number of times?","chromosome","atom","train"
"What are fresh water biomes defined by?","low salt concentration","high salt content","train"
"What is the amount of time a molecule stays in a reservoir known as?","residence time","known time","train"
"What is the study of chemical processes that occur in living things?","biochemistry","phrenology","train"
"What prohibits knocking out genes?","ethical considerdations","genetic considerdations","train"
"The  populations that live in the same area form this?","a community","a colony","train"
"The rate at which an unstable isotope decays is measured in a unit known as what?","half-life","full-life","train"
"What is the rate at which a specific allele appears within a population called?","allele frequecy","allele commonness","train"
"What is the term for crops that are genetically modified with new genes that code for traits useful to humans?","transgenic","mutant","train"
"What part of the cell helps it keep its shape?","cytoskeleton","nucleus","train"
"Decay of what provides some of earth's internal heat?","radioactive elements","ionic elements","train"
"What plays the same role in rotational motion that force plays in linear motion.","torque","efficiency","train"
"Ions are charged what?","atoms","molecules","train"
"What occurs when a parent cell splits into two identical daughter cells of the same size?","fission","diffusion","train"
"What kind of scientist is concerned with facets of geomorphology, topography, vegetation, and climate?","soil scientist","geophysicist","train"
"What was the first antiseptic called?","phenol","acid","train"
"Which model helps explain molecules with double or triple bonds?","hybridization model","salinity model","train"
"Name the plant considered to be the ancestor of plants?","green algae","brown algae","train"
"How can bacterial stis usually be cured?","with antibiotics","tylenol","train"
"Where do organisms acquire toxic substances from along with nutrients and water?","environment","reproduction","train"
"What was the first widely used antibiotic?","penicillin","aspirin","train"
"Plants are complex organisms with tissues organized into what?","organs","carbons","train"
"Water behind a dam has potential energy. moving water, such as in a waterfall or a rapidly flowing river, has this?","kinetic energy","residual energy","train"
"What are mammals that lay eggs called?","monotremes","kangaroos","train"
"What do monotremes have instead of a uterus and vagina?","cloaca","urethra","train"
"What part of the body controls the responses of hunger and satiety?","brain","heart","train"
"What kind of reactions absorb energy from their surroundings as they occur?","endothermic","exothermic","train"
"Hybrid orbitals are formed only in which type of bonded atoms?","covalently","ionically","train"
"Most autotrophs make their ""food"" through which process, using the energy of the sun?","photosynthesis","glycolysis","train"
"Because heating results in a greater fraction of molecules having the necessary kinetic energy to escape the surface of the liquid, what occurs more quickly when liquid is heated?","evaporation","oxidation","train"
"What is the term for a theoretical framework for describing evolutionary change in populations through the change in allele frequencies?","population genetics","percent genetics","train"
"In which specific organs are hormonal cells located?","endocrine glands","mammary glands","train"
"Found in plants and algae, chloroplasts are the site of what process?","photosynthesis","transferase","train"
"What element, which often forms polymers, has a unique ability to form covalent bonds with many other atoms?","carbon","iron","train"
"What is the main difference between prokaryotic and eukaryotic cells?","presence of a nucleus","enlarged mitochondria","train"
"What is another term for foodborne illness?","food poisoning","pathogen","train"
"What is light that has only a single wavelength called?","monochromatic","primary","train"
